account_id,amount,memo
Xyhk3h3HpL3VGZqCgZg6aFjgMH4UA3YEQxds9mgq8n39ZG9,513.134301,
bhXFYkbGMFN94Tmm9tbAexgt71cgeeifrWcn9Vv5eRMcTci,51313.430056,
abZssWSS9dy7H9LT6qQufYKEYAK4GS23nt4KKRvb8pCTDCP,508.053763,
W84t8d8oXXSCurtbbn6bwpQecZs29bPhY37GZKUutRgjEPJ,513.134301,
aWtg9UKmoukBbfWm4hXUuUhKSsb4Yp4jq5rBvzZxGrbPzbE,8980471.441968,OKEx
XnteYQe4PXM5J1H2hj6NggMbQ2A8R9BJxY4qL5aXmdfGYFT,563.939677,
YWze9FmA6quf3ZPrut5Vxv4bFwQ2Fb6HyY8VsTMbskNxG29,25605.909652,
XGSA7WQe78svru6PUWPDuYowQz6Bxm5njRmZhNXSwphepS3,513.134301,
XeyLFyqnmTMtmQNTeLjBLvNSiSB8ihydF9kDYuqWosgPgT7,812.886021,
aLA8m4vd77HDznsotHBQsRpmEL71Erwtvu2PbuNp1pzwZXn,513.134301,
b9yuGRcH9SS5NmBduRXwexgkTUJ9dQL7sxi9qa5dKncgWDM,508.053763,
ao8p153Qd6xKqjBV4EwxJdngs5WKzLV2dAmQXcbQK39MujP,508.053763,
X8bnGC1UBdmHsoCcbdFLoNj3JFtkHYnAP7eQvDWSnkogKHq,513.134301,
ay4x4huXrYhbyF9QSU9S7eu77VFktY9pZefbbGdnVTucuFv,4197.438579,
a9ftfwS6h83SLcuDKE1RxxAvkK3a18tKiXrbVudZqMoKq9F,7519.195692,
WK1N7HdiHDxSYpaYu1BumATCMdjSzhTk2Yqn35oLSe8Sp2x,9500.605367,
bTeq29R6VnWaidxuyaoUqULCwXB3xCuTb55exfhCHBvD9ey,3048.322578,
av5ngrPzwvBK6wq9Bko28xGpYSX3oFCwRqEArVhSPFC6fw9,508.053763,
b1oSThgRFVnbD1NdezbshTWAw9EXZTqphJsto4JWsEoqu76,513.134301,
bWYncDuJefcPbbpqWwVHycyWHJtAEfbERH9CjHhVsafbrML,508.053763,
ZqofpwKF3YB8X8r41X5FupuZ4Er4PKXZvmemQQ6SWUhbMnr,5080.53763,
ajcGtgUqsAPKc6Ce1EdieEwsUzLzPRwUsBmEoBUu3aApucr,513.134301,
Wj1XvtdPJ8arfs6LXEz4ogPwKVtKS98Rc5GcBaNKGgHkngQ,1026.268602,
